orderid,paymentMethod,rating,location,fee,orderTime,departTime1,arriveTime,departTime2,deliveryTime,riderUsername,customerUsername,rname
429,Cash,5,Coral Edge,215.4,2020-01-26 21:26:29,2020-01-26 21:29:19,2020-01-26 21:34:00,2020-01-26 21:35:50,2020-01-26 21:37:15,hh,customer264,Aprisa Mexican Cuisine
430,Mastercard,3,Novena,100.2,2020-01-26 21:22:41,2020-01-26 21:25:07,2020-01-26 21:29:58,2020-01-26 21:30:39,2020-01-26 21:32:49,aaaa,customer51,Papa John's
431,Cash,4,Dover,142.2,2020-01-26 21:02:43,2020-01-26 21:5:52,2020-01-26 21:9:57,2020-01-26 21:12:37,2020-01-26 21:14:06,ii,customer28,Long John Silvers / A&W
432,Cash,4,Sam Kee,204.0,2020-01-26 21:15:49,2020-01-26 21:20:28,2020-01-26 21:22:46,2020-01-26 21:24:51,2020-01-26 21:29:25,hh,customer43,Dairy Queen Grill & Chill
433,Visa,2,Jurong Hill,61.8,2020-01-26 21:24:56,2020-01-26 21:26:46,2020-01-26 21:30:36,2020-01-26 21:34:01,2020-01-26 21:37:18,ii,customer171,SUBWAY
434,Visa,3,Bugis,129.0,2020-01-26 21:25:59,2020-01-26 21:28:02,2020-01-26 21:30:46,2020-01-26 21:31:20,2020-01-26 21:35:14,ii,customer15,Geno's Fast Break
435,Mastercard,3,Esplanade,67.8,2020-01-27 16:05:00,2020-01-27 16:8:59,2020-01-27 16:11:48,2020-01-27 16:12:58,2020-01-27 16:17:34,zzz,customer282,Taco Local
436,Mastercard,3,Samudera,93.0,2020-01-27 16:27:25,2020-01-27 16:28:33,2020-01-27 16:29:28,2020-01-27 16:34:02,2020-01-27 16:36:12,ii,customer18,Rocky's
437,Mastercard,1,Prince Edward Road,186.6,2020-01-27 16:12:53,2020-01-27 16:13:06,2020-01-27 16:15:50,2020-01-27 16:18:44,2020-01-27 16:22:00,aaaa,customer188,Omega Drive-In
438,Cash,4,Teck Lee,418.2,2020-01-27 17:10:07,2020-01-27 17:11:37,2020-01-27 17:12:28,2020-01-27 17:17:42,2020-01-27 17:22:15,bbbb,customer262,SONIC Drive In
439,Mastercard,4,Newton,78.6,2020-01-27 17:37:14,2020-01-27 17:39:43,2020-01-27 17:42:35,2020-01-27 17:45:00,2020-01-27 17:49:38,l,customer291,Dairy Isle
440,Cash,2,Mount Pleasant,162.6,2020-01-27 17:13:20,2020-01-27 17:16:37,2020-01-27 17:20:53,2020-01-27 17:25:48,2020-01-27 17:28:11,ii,customer28,Mickey's Gyros & Ribs
441,Mastercard,4,Jelapang,167.4,2020-01-27 17:38:36,2020-01-27 17:39:14,2020-01-27 17:40:12,2020-01-27 17:42:10,2020-01-27 17:47:26,ii,customer67,Taco Casa
442,Mastercard,4,Nicoll Highway,150.0,2020-01-27 17:46:57,2020-01-27 17:50:05,2020-01-27 17:51:25,2020-01-27 17:56:21,2020-01-27 18:0:06,ii,customer100,Geno's Fast Break
443,Cash,2,Damai,160.8,2020-01-27 18:03:11,2020-01-27 18:6:18,2020-01-27 18:8:08,2020-01-27 18:11:47,2020-01-27 18:16:23,www,customer275,DQ Grill & Chill / Orange Julius
444,Cash,1,Katong Park,60.6,2020-01-27 18:25:13,2020-01-27 18:28:51,2020-01-27 18:30:43,2020-01-27 18:35:57,2020-01-27 18:36:14,hh,customer216,Cousins Subs of Green Bay - Oneida St. & Ramada Way
445,Mastercard,1,Telok Blangah,342.0,2020-01-27 18:26:16,2020-01-27 18:29:58,2020-01-27 18:31:12,2020-01-27 18:32:55,2020-01-27 18:35:37,ii,customer78,Cook Out
446,Visa,2,Bukit Batok West,100.2,2020-01-27 18:32:27,2020-01-27 18:36:20,2020-01-27 18:37:13,2020-01-27 18:40:04,2020-01-27 18:45:54,ii,customer155,Fosters Freeze
447,Cash,4,Little India,147.6,2020-01-27 18:04:51,2020-01-27 18:8:02,2020-01-27 18:12:26,2020-01-27 18:15:59,2020-01-27 18:16:57,xxx,customer195,Sonic Drive-in
448,Visa,4,Tampines East,147.0,2020-01-27 19:29:08,2020-01-27 19:30:55,2020-01-27 19:33:09,2020-01-27 19:38:50,2020-01-27 19:42:37,l,customer64,Subway - Bell's Ferry
449,Visa,1,CG,149.4,2020-01-27 19:13:10,2020-01-27 19:17:22,2020-01-27 19:21:53,2020-01-27 19:26:50,2020-01-27 19:28:32,uuu,customer21,Long John Silver's
450,Cash,5,Katong Park,61.2,2020-01-27 19:23:28,2020-01-27 19:28:25,2020-01-27 19:31:44,2020-01-27 19:34:47,2020-01-27 19:38:48,ii,customer189,The Press Club
451,Cash,1,Fernvale,60.6,2020-01-27 19:48:39,2020-01-27 19:52:57,2020-01-27 19:56:34,2020-01-27 19:58:33,2020-01-27 20:3:14,hh,customer27,Loco Moco Drive-Inn
452,Mastercard,4,Pasir Ris,114.0,2020-01-27 19:23:39,2020-01-27 19:24:49,2020-01-27 19:25:53,2020-01-27 19:29:04,2020-01-27 19:34:58,ii,customer169,Isabella's Pizzeria
453,Mastercard,1,Admiralty,75.6,2020-01-27 19:18:58,2020-01-27 19:19:23,2020-01-27 19:21:02,2020-01-27 19:22:46,2020-01-27 19:25:31,zzz,customer237,Taco Bell/Pizza Hut Express
454,Visa,3,Havelock,210.0,2020-01-27 20:39:01,2020-01-27 20:44:01,2020-01-27 20:46:27,2020-01-27 20:51:23,2020-01-27 20:56:28,hh,customer173,Mcdonalds
455,Visa,3,Nicoll Highway,74.4,2020-01-27 20:11:07,2020-01-27 20:15:29,2020-01-27 20:20:28,2020-01-27 20:24:35,2020-01-27 20:25:52,ii,customer40,Pete's Burgers
456,Visa,1,Fajar,249.6,2020-01-27 20:05:12,2020-01-27 20:10:31,2020-01-27 20:13:06,2020-01-27 20:15:15,2020-01-27 20:20:22,ii,customer225,Ll Hawaiian Barbecue
457,Mastercard,3,Telok Blangah,211.8,2020-01-27 20:57:18,2020-01-27 20:58:42,2020-01-27 21:0:38,2020-01-27 21:5:00,2020-01-27 21:9:33,hh,customer124,Frisch's Big Boy
458,Mastercard,5,Bahar Junction,308.4,2020-01-27 20:24:19,2020-01-27 20:27:02,2020-01-27 20:29:04,2020-01-27 20:30:50,2020-01-27 20:32:47,www,customer32,Rally's Springfield
459,Visa,5,Stevens,238.2,2020-01-27 20:57:25,2020-01-27 20:58:36,2020-01-27 20:59:59,2020-01-27 21:1:25,2020-01-27 21:6:53,xxx,customer15,Tudor's Biscuit World
460,Visa,4,Botanic Gardens,92.4,2020-01-27 20:38:26,2020-01-27 20:42:42,2020-01-27 20:47:47,2020-01-27 20:51:01,2020-01-27 20:54:41,hh,customer244,Brixton's
461,Mastercard,4,Lavender,157.2,2020-01-27 20:31:30,2020-01-27 20:33:09,2020-01-27 20:36:43,2020-01-27 20:41:46,2020-01-27 20:43:32,zzz,customer294,Little Caesar's Pizza Smithfield
462,Mastercard,2,one-north,205.8,2020-01-27 20:08:54,2020-01-27 20:13:30,2020-01-27 20:17:32,2020-01-27 20:21:22,2020-01-27 20:22:00,hh,customer267,Great Steak & Potato Co
463,Visa,1,Punggol Point,146.4,2020-01-27 21:14:02,2020-01-27 21:19:08,2020-01-27 21:21:22,2020-01-27 21:22:07,2020-01-27 21:26:35,hh,customer273,Burgerville
465,Mastercard,3,Raffles Place,70.2,2020-01-27 21:36:06,2020-01-27 21:39:56,2020-01-27 21:42:04,2020-01-27 21:46:06,2020-01-27 21:50:36,ii,customer207,Kim Lee Fast Food
466,Cash,4,Admiralty,146.4,2020-01-27 21:27:15,2020-01-27 21:30:05,2020-01-27 21:32:20,2020-01-27 21:36:35,2020-01-27 21:41:22,hh,customer143,Garden Fast Food
467,Mastercard,3,Tuas West Road,198.0,2020-01-27 21:39:15,2020-01-27 21:44:19,2020-01-27 21:45:42,2020-01-27 21:49:00,2020-01-27 21:51:06,yyy,customer237,Popeyes
468,Mastercard,5,EXTENSION,127.2,2020-01-27 21:00:27,2020-01-27 21:2:31,2020-01-27 21:3:19,2020-01-27 21:5:45,2020-01-27 21:9:13,ii,customer104,Culver's
469,Mastercard,1,Bayfront,14.4,2020-01-27 21:30:32,2020-01-27 21:33:58,2020-01-27 21:34:30,2020-01-27 21:39:08,2020-01-27 21:40:02,hh,customer248,Yoshinoya
470,Visa,1,Mayﬂower,229.8,2020-01-27 21:21:36,2020-01-27 21:23:54,2020-01-27 21:26:53,2020-01-27 21:31:10,2020-01-27 21:36:20,ii,customer180,Firehouse Subs
471,Visa,3,HUME,150.0,2020-01-27 21:33:40,2020-01-27 21:37:43,2020-01-27 21:39:18,2020-01-27 21:44:07,2020-01-27 21:46:57,ii,customer101,Meatheads
472,Mastercard,1,Pending,118.2,2020-01-27 21:51:47,2020-01-27 21:52:46,2020-01-27 21:53:56,2020-01-27 21:56:09,2020-01-27 21:58:48,m,customer93,Dairy Cheer
473,Cash,1,Mount Pleasant,178.8,2020-01-27 21:18:52,2020-01-27 21:22:33,2020-01-27 21:26:36,2020-01-27 21:27:42,2020-01-27 21:31:37,ii,customer154,Bravo Tacos
474,Mastercard,5,Pandan Reservoir,13.2,2020-01-28 16:04:01,2020-01-28 16:6:35,2020-01-28 16:11:56,2020-01-28 16:12:01,2020-01-28 16:13:45,ii,customer120,Soulfish Grill
476,Visa,4,Botanic Gardens,208.2,2020-01-28 17:11:32,2020-01-28 17:13:37,2020-01-28 17:17:49,2020-01-28 17:19:18,2020-01-28 17:21:05,aaaa,customer260,Sonic Drive-In
477,Cash,5,Founders' Memorial,210.6,2020-01-28 17:12:33,2020-01-28 17:14:33,2020-01-28 17:18:15,2020-01-28 17:19:09,2020-01-28 17:24:30,ii,customer224,Fosters Freeze
478,Cash,1,Fajar,231.0,2020-01-28 17:17:53,2020-01-28 17:20:19,2020-01-28 17:21:51,2020-01-28 17:26:26,2020-01-28 17:29:56,ii,customer140,Travelcenters of America
479,Mastercard,4,Soo Teck,105.0,2020-01-28 17:30:55,2020-01-28 17:33:08,2020-01-28 17:37:47,2020-01-28 17:38:11,2020-01-28 17:41:21,hh,customer95,Iceberg Drive Inn
480,Cash,4,Nibong,457.8,2020-01-28 17:22:56,2020-01-28 17:27:27,2020-01-28 17:28:16,2020-01-28 17:33:14,2020-01-28 17:38:07,ii,customer195,BLIMPIE
481,Cash,4,Pandan Reservoir,81.6,2020-01-28 17:59:57,2020-01-28 18:0:41,2020-01-28 18:2:57,2020-01-28 18:7:27,2020-01-28 18:8:30,ii,customer261,Kim Lee Fast Food
482,Cash,2,Gek Poh,311.4,2020-01-28 17:15:58,2020-01-28 17:20:37,2020-01-28 17:24:14,2020-01-28 17:28:50,2020-01-28 17:32:47,hh,customer253,Costa Vida
483,Cash,1,Bukit Panjang,243.6,2020-01-28 18:37:01,2020-01-28 18:40:34,2020-01-28 18:44:20,2020-01-28 18:46:27,2020-01-28 18:49:49,www,customer71,L&l Hawaiian Barbecue
484,Cash,3,Yishun,193.8,2020-01-28 18:46:14,2020-01-28 18:49:28,2020-01-28 18:53:37,2020-01-28 18:57:41,2020-01-28 18:58:56,hh,customer290,Taco Bell
485,Visa,2,Eunos,168.0,2020-01-28 18:39:16,2020-01-28 18:43:32,2020-01-28 18:48:55,2020-01-28 18:53:57,2020-01-28 18:58:10,hh,customer98,The Honeybaked Ham Company
486,Mastercard,1,Ten Mile Junction,87.6,2020-01-28 18:40:22,2020-01-28 18:43:45,2020-01-28 18:44:54,2020-01-28 18:46:17,2020-01-28 18:49:43,ii,customer148,BLIMPIE
487,Mastercard,4,Joo Koon,323.4,2020-01-28 18:19:24,2020-01-28 18:23:35,2020-01-28 18:24:07,2020-01-28 18:28:35,2020-01-28 18:30:43,ii,customer235,Greek Oven Pizza and Wings
488,Cash,4,Nanyang Gateway,75.6,2020-01-28 18:13:32,2020-01-28 18:16:00,2020-01-28 18:19:16,2020-01-28 18:24:34,2020-01-28 18:28:39,ii,customer258,Checker's Hamburgers
489,Cash,5,Tengah,54.6,2020-01-28 19:45:09,2020-01-28 19:47:03,2020-01-28 19:48:28,2020-01-28 19:51:01,2020-01-28 19:52:26,ii,customer72,Dewey's Pizza
490,Mastercard,5,Bishan,27.0,2020-01-28 19:41:13,2020-01-28 19:44:00,2020-01-28 19:45:33,2020-01-28 19:47:33,2020-01-28 19:49:04,hh,customer73,Long John Silver's
491,Visa,1,Bishan,262.8,2020-01-28 19:50:31,2020-01-28 19:51:32,2020-01-28 19:54:21,2020-01-28 19:55:18,2020-01-28 19:57:10,ii,customer249,Mazatlan Mexican Restaurant
492,Mastercard,3,Outram Park,37.2,2020-01-28 19:45:31,2020-01-28 19:49:24,2020-01-28 19:54:04,2020-01-28 19:59:08,2020-01-28 20:2:24,hh,customer14,Boston Chowda Company
493,Cash,1,Simei,309.0,2020-01-28 19:46:34,2020-01-28 19:49:27,2020-01-28 19:51:56,2020-01-28 19:52:14,2020-01-28 19:57:11,ii,customer153,Vista Drive In
494,Mastercard,4,Woodlands North,90.0,2020-01-28 19:23:58,2020-01-28 19:24:37,2020-01-28 19:28:18,2020-01-28 19:29:50,2020-01-28 19:34:32,vvv,customer256,Jim Bob's Chicken Fingers
495,Cash,3,Rumbia,247.8,2020-01-28 20:58:05,2020-01-28 20:59:23,2020-01-28 21:0:56,2020-01-28 21:3:39,2020-01-28 21:4:05,vvv,customer276,Five Guys
496,Visa,5,Kranji,248.4,2020-01-28 20:39:06,2020-01-28 20:40:52,2020-01-28 20:44:42,2020-01-28 20:49:22,2020-01-28 20:54:00,hh,customer179,A&W Restaurant
497,Cash,4,Kaki Bukit,267.0,2020-01-28 20:15:12,2020-01-28 20:18:02,2020-01-28 20:21:37,2020-01-28 20:23:43,2020-01-28 20:26:18,zzz,customer157,Sonic Drive in
498,Cash,3,Bukit Panjang,208.8,2020-01-28 20:39:33,2020-01-28 20:40:02,2020-01-28 20:43:39,2020-01-28 20:44:05,2020-01-28 20:47:19,hh,customer42,Papagus Gyros
499,Mastercard,2,Sembawang,111.6,2020-01-28 20:53:46,2020-01-28 20:57:02,2020-01-28 20:58:27,2020-01-28 21:2:20,2020-01-28 21:4:43,ii,customer37,Mc Donald's
500,Cash,2,Springleaf,278.4,2020-01-28 20:50:57,2020-01-28 20:54:23,2020-01-28 20:58:32,2020-01-28 21:2:17,2020-01-28 21:6:03,hh,customer137,Popeye's
501,Mastercard,1,Botanic Gardens,92.4,2020-01-28 21:33:06,2020-01-28 21:35:24,2020-01-28 21:39:32,2020-01-28 21:44:45,2020-01-28 21:48:03,ii,customer41,Five Guys
502,Mastercard,1,Bahar Junction,102.0,2020-01-28 21:59:17,2020-01-28 22:4:32,2020-01-28 22:6:31,2020-01-28 22:8:12,2020-01-28 22:10:58,hh,customer163,Dairy Queen Grill & Chill
503,Cash,2,Marina South Pier,241.2,2020-01-29 16:25:03,2020-01-29 16:26:30,2020-01-29 16:29:58,2020-01-29 16:34:52,2020-01-29 16:37:43,zzz,customer5,Twisters
504,Cash,3,Jurong West,116.4,2020-01-29 16:44:14,2020-01-29 16:45:49,2020-01-29 16:49:19,2020-01-29 16:51:11,2020-01-29 16:55:51,www,customer76,Thunder Ridge Ampride
505,Visa,5,Hillview,138.6,2020-01-29 16:04:17,2020-01-29 16:9:18,2020-01-29 16:14:24,2020-01-29 16:19:52,2020-01-29 16:20:23,ii,customer91,DQ Grill & Chill / Orange Julius
506,Cash,3,Stadium,134.4,2020-01-29 16:36:19,2020-01-29 16:37:13,2020-01-29 16:42:30,2020-01-29 16:46:07,2020-01-29 16:47:39,yyy,customer280,Rafael's
507,Cash,3,Gul Circle,124.8,2020-01-29 16:56:28,2020-01-29 17:0:24,2020-01-29 17:1:26,2020-01-29 17:4:29,2020-01-29 17:8:46,hh,customer229,Breadeaux Pizza
508,Cash,5,Farrer Road,24.0,2020-01-29 16:26:43,2020-01-29 16:29:14,2020-01-29 16:32:18,2020-01-29 16:36:16,2020-01-29 16:39:34,hh,customer159,Dairy Cheer
509,Mastercard,4,Bukit Panjang,72.0,2020-01-29 17:58:16,2020-01-29 18:0:09,2020-01-29 18:1:23,2020-01-29 18:2:34,2020-01-29 18:7:29,hh,customer124,Raising Cane's
510,Visa,1,Bukit Panjang,37.2,2020-01-29 17:11:20,2020-01-29 17:15:57,2020-01-29 17:18:16,2020-01-29 17:23:18,2020-01-29 17:24:55,ii,customer209,Bob Evans
511,Cash,3,Kupang,166.8,2020-01-29 17:44:53,2020-01-29 17:46:04,2020-01-29 17:51:52,2020-01-29 17:55:11,2020-01-29 17:58:53,hh,customer229,Hardees
512,Cash,3,Canberra,106.8,2020-01-29 18:26:21,2020-01-29 18:30:53,2020-01-29 18:35:52,2020-01-29 18:36:38,2020-01-29 18:41:10,m,customer150,Regal Cinemas Tikahtnu  16 IMAX & RPX
513,Cash,2,Bayshore,40.2,2020-01-29 18:43:44,2020-01-29 18:45:09,2020-01-29 18:48:44,2020-01-29 18:53:46,2020-01-29 18:58:33,m,customer215,McLaren's Pantry
514,Visa,5,Bright Hill,28.8,2020-01-29 18:52:45,2020-01-29 18:53:13,2020-01-29 18:57:01,2020-01-29 18:58:34,2020-01-29 19:0:32,ii,customer24,Checker's Drive-in Restaurant
515,Visa,4,Petir,27.0,2020-01-29 18:44:47,2020-01-29 18:48:30,2020-01-29 18:51:16,2020-01-29 18:54:22,2020-01-29 18:55:39,www,customer200,Five Guys
516,Cash,2,Mountbatten,387.0,2020-01-29 18:36:50,2020-01-29 18:41:00,2020-01-29 18:44:18,2020-01-29 18:48:37,2020-01-29 18:49:57,ii,customer145,Garden Catering
517,Mastercard,5,Enterprise,30.6,2020-01-29 18:36:57,2020-01-29 18:40:31,2020-01-29 18:44:06,2020-01-29 18:45:18,2020-01-29 18:50:09,l,customer58,Baja Fresh
518,Visa,4,Toa Payoh,79.8,2020-01-29 19:15:01,2020-01-29 19:17:31,2020-01-29 19:22:27,2020-01-29 19:24:23,2020-01-29 19:25:51,bbbb,customer13,Bad Daddys Burger Bar
519,Visa,5,Marina South Pier,231.0,2020-01-29 19:44:05,2020-01-29 19:49:51,2020-01-29 19:53:05,2020-01-29 19:55:39,2020-01-29 19:56:49,zzz,customer114,Ben & Jerry's
520,Mastercard,1,City Hall,190.2,2020-01-29 19:35:11,2020-01-29 19:39:36,2020-01-29 19:41:51,2020-01-29 19:45:39,2020-01-29 19:47:36,ii,customer256,Boston Market
521,Mastercard,4,Punggol Coast,70.2,2020-01-29 19:52:24,2020-01-29 19:54:45,2020-01-29 19:58:26,2020-01-29 20:2:55,2020-01-29 20:7:44,hh,customer235,Scoopers
522,Mastercard,4,Bangkit,115.2,2020-01-29 19:34:25,2020-01-29 19:38:33,2020-01-29 19:39:40,2020-01-29 19:42:37,2020-01-29 19:47:51,m,customer58,Quiznos
523,Visa,4,Gardens by the Bay,64.2,2020-01-29 19:18:25,2020-01-29 19:22:18,2020-01-29 19:24:18,2020-01-29 19:29:12,2020-01-29 19:32:28,uuu,customer62,Stars Drive-In
524,Cash,3,Hougang,57.6,2020-01-29 19:57:34,2020-01-29 19:59:32,2020-01-29 20:2:46,2020-01-29 20:5:49,2020-01-29 20:9:32,hh,customer4,Crown Fried Chicken
525,Mastercard,1,Springleaf,39.0,2020-01-29 19:36:47,2020-01-29 19:38:44,2020-01-29 19:40:21,2020-01-29 19:41:35,2020-01-29 19:44:11,vvv,customer146,7-Eleven
526,Cash,3,Khatib,90.0,2020-01-29 20:30:17,2020-01-29 20:34:32,2020-01-29 20:39:42,2020-01-29 20:42:42,2020-01-29 20:44:55,vvv,customer271,Tommy's Sub Shop
527,Visa,3,Potong Pasir,18.0,2020-01-29 20:56:23,2020-01-29 20:59:19,2020-01-29 21:2:32,2020-01-29 21:3:04,2020-01-29 21:5:58,ii,customer31,Dual - Carls / Grn Burrito 1100654
528,Mastercard,2,Orchard,110.4,2020-01-29 20:59:26,2020-01-29 21:4:07,2020-01-29 21:7:57,2020-01-29 21:8:23,2020-01-29 21:12:57,aaaa,customer26,Subway Sandwiches and Salads
529,Visa,2,CCL EXTENSION,9.0,2020-01-29 20:30:31,2020-01-29 20:35:47,2020-01-29 20:36:02,2020-01-29 20:38:04,2020-01-29 20:40:54,ii,customer249,Paesano's
530,Mastercard,2,Katong Park,142.2,2020-01-29 20:09:35,2020-01-29 20:12:47,2020-01-29 20:16:21,2020-01-29 20:18:22,2020-01-29 20:20:38,aaaa,customer158,Subway (johnson) @ Jonesboro
531,Mastercard,3,Havelock,162.6,2020-01-29 20:28:38,2020-01-29 20:33:31,2020-01-29 20:36:40,2020-01-29 20:38:22,2020-01-29 20:40:47,hh,customer121,Blakes Lotaburger
532,Mastercard,2,Woodlands,141.0,2020-01-29 20:30:53,2020-01-29 20:33:55,2020-01-29 20:36:25,2020-01-29 20:41:24,2020-01-29 20:42:21,ii,customer194,Mariu Kebabberia Gastronomica
533,Cash,5,Orchard Boulevard,140.4,2020-01-29 21:00:04,2020-01-29 21:5:41,2020-01-29 21:8:14,2020-01-29 21:13:59,2020-01-29 21:15:57,hh,customer232,Jolly's Drive-In
534,Cash,3,Siglap,168.6,2020-01-29 21:44:18,2020-01-29 21:46:47,2020-01-29 21:47:23,2020-01-29 21:50:08,2020-01-29 21:54:13,uuu,customer154,Coop DeVille
535,Mastercard,3,Simei,90.0,2020-01-29 21:13:25,2020-01-29 21:16:36,2020-01-29 21:19:46,2020-01-29 21:20:00,2020-01-29 21:24:13,hh,customer48,Wendy's
536,Mastercard,2,Queenstown,312.6,2020-01-29 21:58:30,2020-01-29 21:59:15,2020-01-29 22:3:50,2020-01-29 22:4:56,2020-01-29 22:8:44,ii,customer213,Dairy Queen Grill & Chill / Orange Julius
537,Visa,3,Dhoby Ghaut,449.4,2020-01-29 21:56:32,2020-01-29 21:57:39,2020-01-29 22:1:14,2020-01-29 22:3:36,2020-01-29 22:6:40,hh,customer273,Chicken House
538,Mastercard,4,EAST LOOP,15.0,2020-01-29 21:37:34,2020-01-29 21:42:02,2020-01-29 21:47:04,2020-01-29 21:52:28,2020-01-29 21:55:17,hh,customer58,KFC / A&W
539,Cash,4,Aljunied,157.2,2020-01-29 21:00:41,2020-01-29 21:4:39,2020-01-29 21:5:50,2020-01-29 21:8:23,2020-01-29 21:11:40,ii,customer154,Smashburger
540,Mastercard,4,EAST LOOP,112.8,2020-01-29 21:53:58,2020-01-29 21:57:06,2020-01-29 21:58:54,2020-01-29 22:1:39,2020-01-29 22:5:02,l,customer248,Long John Silver's / A&W
541,Cash,4,Punggol Point,223.2,2020-01-30 16:25:16,2020-01-30 16:27:29,2020-01-30 16:30:03,2020-01-30 16:33:35,2020-01-30 16:37:04,bbbb,customer288,Wingstop
542,Cash,2,Downtown,34.8,2020-01-30 16:23:37,2020-01-30 16:24:20,2020-01-30 16:26:57,2020-01-30 16:30:13,2020-01-30 16:35:24,aaaa,customer107,Original Tracks
543,Visa,5,Oasis,334.8,2020-01-30 16:40:57,2020-01-30 16:41:52,2020-01-30 16:44:37,2020-01-30 16:48:26,2020-01-30 16:52:08,xxx,customer221,Sonic
544,Cash,1,Petir,48.0,2020-01-30 16:23:57,2020-01-30 16:24:43,2020-01-30 16:28:50,2020-01-30 16:31:16,2020-01-30 16:33:49,hh,customer28,Fresh City
545,Mastercard,2,Tampines,157.2,2020-01-30 17:30:12,2020-01-30 17:34:56,2020-01-30 17:37:27,2020-01-30 17:42:53,2020-01-30 17:45:56,www,customer207,Nino's Pizza
546,Cash,1,Newton,96.0,2020-01-30 17:14:25,2020-01-30 17:17:36,2020-01-30 17:20:15,2020-01-30 17:22:08,2020-01-30 17:25:59,yyy,customer258,Kasa's Pizza
547,Visa,3,WEST LOOP,275.4,2020-01-30 17:01:51,2020-01-30 17:3:55,2020-01-30 17:6:58,2020-01-30 17:11:54,2020-01-30 17:16:31,m,customer13,Chick-fil-a Superstition Springs Center
548,Visa,4,Farrer Road,226.8,2020-01-30 17:09:53,2020-01-30 17:10:47,2020-01-30 17:11:06,2020-01-30 17:16:02,2020-01-30 17:20:42,ii,customer238,Tellers Tap Room & Kitchen
549,Mastercard,3,Riviera,180.0,2020-01-30 18:53:03,2020-01-30 18:56:38,2020-01-30 19:1:04,2020-01-30 19:3:40,2020-01-30 19:7:24,m,customer58,Yellow Cab Pizza Co.
550,Mastercard,5,City Hall,168.6,2020-01-30 18:27:06,2020-01-30 18:30:38,2020-01-30 18:35:53,2020-01-30 18:39:07,2020-01-30 18:41:11,l,customer182,Taco Casa
551,Cash,4,Labrador Park,66.0,2020-01-30 18:37:10,2020-01-30 18:40:08,2020-01-30 18:42:02,2020-01-30 18:45:59,2020-01-30 18:49:41,hh,customer236,George's Gyros Spot
552,Mastercard,1,Orchard Boulevard,112.2,2020-01-30 18:00:32,2020-01-30 18:4:25,2020-01-30 18:6:36,2020-01-30 18:10:19,2020-01-30 18:15:18,hh,customer274,Jollibee
553,Cash,5,Cashew,126.6,2020-01-30 18:14:36,2020-01-30 18:17:16,2020-01-30 18:20:05,2020-01-30 18:25:19,2020-01-30 18:28:02,hh,customer215,Pete's Burgers
554,Mastercard,5,Maxwell,211.8,2020-01-30 18:09:49,2020-01-30 18:13:08,2020-01-30 18:16:52,2020-01-30 18:18:26,2020-01-30 18:22:17,ii,customer56,A&W/Long John Silvers
556,Visa,2,Telok Ayer,238.8,2020-01-30 19:29:06,2020-01-30 19:34:52,2020-01-30 19:38:30,2020-01-30 19:43:32,2020-01-30 19:45:21,hh,customer22,Little Caesar's Pizza Smithfield
557,Mastercard,5,EAST LOOP,114.0,2020-01-30 19:17:08,2020-01-30 19:20:15,2020-01-30 19:23:05,2020-01-30 19:28:18,2020-01-30 19:33:00,l,customer156,A&W All-American Food
558,Mastercard,5,Jurong West,140.4,2020-01-30 19:17:17,2020-01-30 19:18:03,2020-01-30 19:21:30,2020-01-30 19:25:04,2020-01-30 19:28:51,hh,customer282,Seaside Eatery
559,Mastercard,4,Tai Seng,294.0,2020-01-30 19:45:30,2020-01-30 19:50:45,2020-01-30 19:53:21,2020-01-30 19:54:23,2020-01-30 19:56:33,vvv,customer167,Pete's Burgers
560,Cash,1,Changi Airport,165.0,2020-01-30 19:10:39,2020-01-30 19:15:14,2020-01-30 19:18:51,2020-01-30 19:22:23,2020-01-30 19:23:45,xxx,customer6,SONIC Drive In
561,Mastercard,3,Tawas,246.6,2020-01-30 19:03:41,2020-01-30 19:4:49,2020-01-30 19:7:50,2020-01-30 19:8:05,2020-01-30 19:12:14,m,customer49,Lee's Famous Recipe Chicken
562,Mastercard,1,Kadaloor,171.6,2020-01-30 19:21:41,2020-01-30 19:24:05,2020-01-30 19:26:24,2020-01-30 19:28:08,2020-01-30 19:31:33,hh,customer61,Pizza Hut Wingstreet
563,Cash,3,Jurong Town Hall,37.2,2020-01-30 19:57:58,2020-01-30 19:58:00,2020-01-30 20:1:21,2020-01-30 20:6:41,2020-01-30 20:10:02,www,customer276,Captain D's Seafood
564,Mastercard,3,Caldecott,63.6,2020-01-30 19:04:59,2020-01-30 19:9:16,2020-01-30 19:12:05,2020-01-30 19:14:20,2020-01-30 19:19:53,m,customer248,Kam's Chop Suey
565,Cash,2,Senja,92.4,2020-01-30 20:13:14,2020-01-30 20:18:28,2020-01-30 20:23:49,2020-01-30 20:25:55,2020-01-30 20:27:23,hh,customer250,Carls Jr
566,Cash,2,Promenade,226.8,2020-01-30 20:55:18,2020-01-30 21:0:10,2020-01-30 21:5:01,2020-01-30 21:9:29,2020-01-30 21:11:23,zzz,customer71,Famous Dave's
567,Cash,1,Nicoll Highway,54.0,2020-01-30 20:22:20,2020-01-30 20:26:38,2020-01-30 20:27:06,2020-01-30 20:32:48,2020-01-30 20:33:35,bbbb,customer275,Dunkin' Donuts
