quantity,review,fname,orderid
6,Beef soup is inwardly synonymous,Beef soup,2299
10,Naan is daintily colorful,Naan,2299
20,Green curry chicken is together rich,Green curry chicken,2299
27,Hot and sour soup is abnormally several,Hot and sour soup,2299
13,Paratha is quizzically immediate,Paratha,2299
16,Elote is annually substantial,Elote,2300
13,Risotto is positively rich,Risotto,2300
22,Bottarga is questionably troubled,Bottarga,2300
6,Fried carrot cake is overconfidently deeply,Fried carrot cake,2300
8,Spicy stir fried octopus is frightfully consistent,Spicy stir fried octopus,2300
12,Naan is deftly mountainous,Naan,2300
10,Enchiladas is woefully curious,Enchiladas,2300
10,Ribollita is voluntarily spotless,Ribollita,2301
16,Cheeseburger is fully spotless,Cheeseburger,2301
7,Bibimbap is daintily reflective,Bibimbap,2301
28,Tandoori chicken is worriedly aboriginal,Tandoori chicken,2301
13,Spicy stir fried octopus is seemingly federal,Spicy stir fried octopus,2301
9,Pork bulgogi is thoroughly robust,Pork bulgogi,2301
3,Green curry chicken is rigidly rude,Green curry chicken,2301
1,Banh xeo is yawningly quiet,Banh xeo,2301
3,Spaghetti Carbonara is wonderfully annoying,Spaghetti Carbonara,2302
5,Hokkien prawn mee is fiercely screeching,Hokkien prawn mee,2302
13,Kimchi is quirkily acidic,Kimchi,2302
24,Fish stew is briefly null,Fish stew,2302
9,Ossobuco is thus zany,Ossobuco,2302
28,Bak kut teh is arrogantly painful,Bak kut teh,2302
31,Spaghetti Bolognese is monthly lame,Spaghetti Bolognese,2303
4,Chicken tikka masala is awkwardly nonchalant,Chicken tikka masala,2303
3,Hokkien prawn mee is continually creepy,Hokkien prawn mee,2303
4,Kimchi is personally milky,Kimchi,2303
8,Banh xeo is overconfidently dirty,Banh xeo,2303
17,Bak kut teh is tremendously grubby,Bak kut teh,2303
6,Gogigui is owlishly political,Gogigui,2304
2,Nasi goreng is quickly spotted,Nasi goreng,2304
15,Boiled vegetable soup is especially capricious,Boiled vegetable soup,2304
18,Bak chor mee is surprisingly elated,Bak chor mee,2304
9,Ayam goreng is simply basic,Ayam goreng,2304
5,Murg makhani is inwardly stiff,Murg makhani,2304
5,Papdi chaat is helplessly decisive,Papdi chaat,2304
4,Pozole is possibly creepy,Pozole,2304
15,Risotto is lazily foregoing,Risotto,2304
11,Pork bulgogi is tremendously disgusted,Pork bulgogi,2304
4,Chicken with chestnuts is optimistically assorted,Chicken with chestnuts,2304
29,Pho is quarrelsomely natural,Pho,2304
10,Laksa is quicker wretched,Laksa,2304
17,Isaan soup is daily general,Isaan soup,2305
9,Apple pie is weekly frightened,Apple pie,2305
10,Soto is eventually sparkling,Soto,2305
2,Szechwan chilli chicken is thoroughly yielding,Szechwan chilli chicken,2305
10,Cao lau is voluntarily descriptive,Cao lau,2305
9,Chicken rice is solemnly noiseless,Chicken rice,2305
4,Kimchi is completely gentle,Kimchi,2306
3,Hokkien prawn mee is together deeply,Hokkien prawn mee,2306
4,Bottarga is continually synonymous,Bottarga,2306
5,Ossobuco is voluntarily plant,Ossobuco,2306
12,Sundubu jjigae is selfishly bumpy,Sundubu jjigae,2306
8,Vegetable fried rice is suspiciously madly,Vegetable fried rice,2306
5,Soba is suddenly spiky,Soba,2307
18,Gogigui is victoriously childlike,Gogigui,2307
13,Noodles is knottily noiseless,Noodles,2307
22,Sour soup is closely cultured,Sour soup,2307
20,Chicken with chestnuts is irritably sorry,Chicken with chestnuts,2307
25,Lasagna is rapidly synonymous,Lasagna,2307
23,Bhajji is quirkily smiling,Bhajji,2307
10,Hash browns is punctually absorbing,Hash browns,2308
9,Nem ran is knowledgeably scared,Nem ran,2308
28,Rawon is fully zealous,Rawon,2308
8,Goi cuon is joshingly unfair,Goi cuon,2308
10,Sate is dearly delicate,Sate,2308
16,Banh xeo is reluctantly green,Banh xeo,2308
15,Donburi is properly flaky,Donburi,2308
5,Soto is recently vacuous,Soto,2308
8,Ramen is never slimy,Ramen,2308
10,Fried carrot cake is upbeat elastic,Fried carrot cake,2308
12,Pork bulgogi is quizzically wrathful,Pork bulgogi,2309
6,Sour soup is essentially dependent,Sour soup,2309
14,Fried carrot cake is anxiously gabby,Fried carrot cake,2309
8,Udon is crazily special,Udon,2309
25,Kimchi stew is instantly confident,Kimchi stew,2309
4,Bun bo hue is doubtfully cool,Bun bo hue,2310
10,Fish kidney curry is diligently unsuitable,Fish kidney curry,2310
13,Szechwan chilli chicken is seemingly substantial,Szechwan chilli chicken,2310
19,Vegetable fried rice is zestily rampant,Vegetable fried rice,2311
18,Chicken galangal soup is sharply selective,Chicken galangal soup,2311
3,Gogigui is probably innate,Gogigui,2311
21,Pho is energetically threatening,Pho,2311
13,Kimchi stew is commonly future,Kimchi stew,2311
14,Gado gado is slowly bright,Gado gado,2311
15,Isaan soup is less highfalutin,Isaan soup,2311
17,Cha ca is foolishly yielding,Cha ca,2311
11,Chicken with chestnuts is successfully various,Chicken with chestnuts,2312
16,Bhajji is bashfully decent,Bhajji,2312
17,Tacos al pastor is kookily sparkling,Tacos al pastor,2313
8,Fried chicken is coaxingly federal,Fried chicken,2313
8,Bibimbap is gently robust,Bibimbap,2313
24,Beef rendang is repeatedly chief,Beef rendang,2313
12,Chilaquiles is sheepishly far-flung,Chilaquiles,2313
7,Ga tan is upward odd,Ga tan,2313
6,Chole is miserably staking,Chole,2313
28,Cheeseburger is offensively loving,Cheeseburger,2314
8,Szechwan chilli chicken is utterly classy,Szechwan chilli chicken,2314
5,Natto is fatally grieving,Natto,2314
6,Steak is loftily upbeat,Steak,2314
13,French fries is gratefully grateful,French fries,2314
4,Chicken galangal soup is cheerfully pushy,Chicken galangal soup,2315
3,Banh xeo is doubtfully nervous,Banh xeo,2315
18,Apple pie is delightfully terrific,Apple pie,2315
14,Pork bulgogi is joyfully sorry,Pork bulgogi,2315
12,Sundubu jjigae is enthusiastically dreary,Sundubu jjigae,2315
12,Spaghetti Aglio Olio is upright wonderful,Spaghetti Aglio Olio,2315
16,Banh khot is carefully weak,Banh khot,2315
26,Tacos al pastor is punctually flashy,Tacos al pastor,2315
4,Wanton mee is overconfidently cumbersome,Wanton mee,2315
9,Fish stew is kindheartedly therapeutic,Fish stew,2315
29,Ribollita is promptly acidic,Ribollita,2315
8,Bun bo hue is shyly short,Bun bo hue,2315
21,Polenta is valiantly stiff,Polenta,2316
28,Dim sum is daily fresh,Dim sum,2316
6,Coconut milk curry is smoothly flaky,Coconut milk curry,2316
9,Risotto is briefly mixed,Risotto,2316
5,Chiles en nogada is unethically bitter,Chiles en nogada,2316
10,Fried carrot cake is possibly abashed,Fried carrot cake,2316
7,Hokkien prawn mee is eagerly nervous,Hokkien prawn mee,2316
21,Green curry chicken is rather black,Green curry chicken,2316
7,Rau muong is safely wanting,Rau muong,2317
9,Macaroni and Cheese is yawningly flowery,Macaroni and Cheese,2317
4,Fish stew is justly spurious,Fish stew,2317
12,Ribollita is keenly troubled,Ribollita,2317
9,Rawon is upbeat deep,Rawon,2317
5,Green curry chicken is vivaciously regular,Green curry chicken,2317
5,Coconut milk curry is unaccountably graceful,Coconut milk curry,2317
2,Bibimbap is less creepy,Bibimbap,2317
14,Ayam penyet is well automatic,Ayam penyet,2318
11,Green curry chicken is happily grubby,Green curry chicken,2318
18,Steak is gratefully unarmed,Steak,2318
8,Goi cuon is softly logical,Goi cuon,2318
3,Ramen is however unique,Ramen,2318
4,Sate is sheepishly deeply,Sate,2318
23,Fried chicken is boastfully synonymous,Fried chicken,2318
28,Ramyeon is vainly roasted,Ramyeon,2318
14,Hokkien prawn mee is judgementally cool,Hokkien prawn mee,2319
6,Rujak cingur is viciously lopsided,Rujak cingur,2319
12,Fish stew is rudely unique,Fish stew,2319
29,Ayam penyet is virtually resonant,Ayam penyet,2319
9,Pizza is joyfully fast,Pizza,2319
6,Bak kut teh is always shocking,Bak kut teh,2319
5,Beef soup is not clean,Beef soup,2319
24,Coconut milk curry is repeatedly rude,Coconut milk curry,2319
6,Pork bulgogi is significantly hateful,Pork bulgogi,2319
4,Murg makhani is quizzically sturdy,Murg makhani,2319
7,Tostadas is noisily homely,Tostadas,2319
6,Chole is tediously fertile,Chole,2319
18,Natto is selfishly vacuous,Natto,2319
20,Korma is helpfully wonderful,Korma,2320
24,Spaghetti Bolognese is gleefully clean,Spaghetti Bolognese,2320
8,Fried carrot cake is blissfully hateful,Fried carrot cake,2320
3,Sashimi is defiantly decent,Sashimi,2320
8,Donburi is tensely stormy,Donburi,2320
12,Fish stew is defiantly jumpy,Fish stew,2320
19,Beef soup is kiddingly far-flung,Beef soup,2320
8,Goi cuon is lazily natural,Goi cuon,2321
9,Elote is weekly shocking,Elote,2321
19,Wanton mee is joyously unsuitable,Wanton mee,2321
19,Bottarga is intently calm,Bottarga,2321
14,Natto is totally painful,Natto,2321
4,Tandoori chicken is then calm,Tandoori chicken,2321
13,Steak is mechanically weak,Steak,2321
16,Gado gado is therefore abashed,Gado gado,2321
15,Steak is uselessly jobless,Steak,2322
6,Curry fish head is loudly regular,Curry fish head,2322
4,Spaghetti Aglio Olio is merrily kaput,Spaghetti Aglio Olio,2322
10,Natto is cleverly cool,Natto,2322
30,Natto is weakly zealous,Natto,2323
5,Kimchi stew is mockingly certain,Kimchi stew,2323
18,Enchiladas is patiently defeated,Enchiladas,2323
11,Palak paneer is frightfully assorted,Palak paneer,2323
7,Pozole is obnoxiously black,Pozole,2323
5,Spaghetti Bolognese is blindly tart,Spaghetti Bolognese,2324
8,Murg makhani is truthfully quirky,Murg makhani,2324
3,Enchiladas is upright sorry,Enchiladas,2324
8,Fried carrot cake is willfully momentous,Fried carrot cake,2324
7,Elote is limply lazy,Elote,2325
15,Tamales is altogether loutish,Tamales,2325
2,Hokkien prawn mee is thoroughly screeching,Hokkien prawn mee,2325
5,Isaan soup is fast future,Isaan soup,2325
4,Ribollita is furiously lush,Ribollita,2325
9,Tostadas is kiddingly thirsty,Tostadas,2325
7,Pho is deliberately endurable,Pho,2326
10,Kaya toast is verbally mean,Kaya toast,2326
4,Tostadas is unimpressively logical,Tostadas,2326
6,Chicken wings is strictly homely,Chicken wings,2326
5,Enchiladas is seriously attractive,Enchiladas,2326
24,Udon is joshingly scared,Udon,2326
9,Dim sum is youthfully vacuous,Dim sum,2326
2,Polenta is foolishly flippant,Polenta,2327
10,Chicken with chestnuts is extremely ruddy,Chicken with chestnuts,2327
19,Palak paneer is kookily dramatic,Palak paneer,2327
9,Rawon is overconfidently sturdy,Rawon,2327
16,Pho is sharply vacuous,Pho,2327
13,Apple pie is exactly madly,Apple pie,2327
13,Bibimbap is else female,Bibimbap,2327
2,Fried carrot cake is seldom plausible,Fried carrot cake,2327
4,Stir fried tofu with rice is devotedly spiffy,Stir fried tofu with rice,2327
12,Hot and sour soup is never annoying,Hot and sour soup,2327
5,Dim sum is mortally scared,Dim sum,2327
6,Natto is quizzically imperfect,Natto,2327
16,Beef rendang is often threatening,Beef rendang,2328
4,Gado gado is technically staking,Gado gado,2328
18,Cao lau is angrily additional,Cao lau,2328
2,Kimchi stew is readily cumbersome,Kimchi stew,2328
8,Szechwan chilli chicken is jealously immediate,Szechwan chilli chicken,2328
18,Sashimi is monthly unarmed,Sashimi,2328
18,Korma is mysteriously drunk,Korma,2328
6,Mole is nicely spiky,Mole,2328
9,Donburi is unabashedly traditional,Donburi,2328
2,Natto is definitely puzzled,Natto,2328
8,Tempura is upliftingly basic,Tempura,2328
2,Cheeseburger is loyally somber,Cheeseburger,2329
26,Szechwan chilli chicken is unethically true,Szechwan chilli chicken,2329
14,Ga tan is colorfully ashamed,Ga tan,2329
27,Rujak cingur is devotedly adventurous,Rujak cingur,2329
30,Nem ran is willfully willing,Nem ran,2329
8,Spring rolls is terrifically tart,Spring rolls,2329
8,Pork bulgogi is dearly willing,Pork bulgogi,2329
12,Chole is slightly spiteful,Chole,2329
11,Murg makhani is dimly unsuitable,Murg makhani,2329
8,Gogigui is kiddingly disgusted,Gogigui,2330
10,Hokkien prawn mee is gleefully troubled,Hokkien prawn mee,2330
28,Tostadas is frequently hateful,Tostadas,2330
16,Soto is very volatile,Soto,2330
2,Bakso is tremendously psychedelic,Bakso,2330
7,Goi cuon is thankfully thirsty,Goi cuon,2330
14,Sichuan pork is necessarily foregoing,Sichuan pork,2330
10,Cantonese chicken soup is finally fertile,Cantonese chicken soup,2330
8,Kimchi stew is defiantly didactic,Kimchi stew,2330
13,Hot and sour soup is questioningly abashed,Hot and sour soup,2331
17,Vegetable fried rice is intensely oval,Vegetable fried rice,2331
11,Pozole is reproachfully true,Pozole,2331
3,Hokkien prawn mee is knavishly selective,Hokkien prawn mee,2331
22,Risotto is therefore stiff,Risotto,2331
2,Chicken rice is anyway temporary,Chicken rice,2331
17,Ramen is occasionally guiltless,Ramen,2331
6,Natto is generally squealing,Natto,2331
10,Bottarga is dreamily stiff,Bottarga,2331
3,Beef rendang is deftly absorbed,Beef rendang,2331
15,Macaroni and Cheese is basically realistic,Macaroni and Cheese,2331
7,Pho is officially classy,Pho,2331
14,Sushi is jubilantly zealous,Sushi,2331
3,Lasagna is lazily dirty,Lasagna,2331
6,Fish kidney curry is lightly colorful,Fish kidney curry,2332
13,Curry fish head is zealously delicious,Curry fish head,2332
5,Elote is owlishly sudden,Elote,2332
9,Wanton mee is upliftingly yielding,Wanton mee,2332
8,Murg makhani is optimistically annoying,Murg makhani,2332
16,Nem ran is dramatically normal,Nem ran,2332
6,Coconut milk curry is urgently itchy,Coconut milk curry,2332
3,Spaghetti Bolognese is obediently screeching,Spaghetti Bolognese,2333
12,Nasi goreng is therefore imminent,Nasi goreng,2333
8,Apple pie is strictly foregoing,Apple pie,2333
9,Wanton mee is fully attractive,Wanton mee,2333
10,Chole is zestfully abashed,Chole,2333
7,Spaghetti Carbonara is definitely lush,Spaghetti Carbonara,2333
19,Chicken with chestnuts is gleefully guiltless,Chicken with chestnuts,2333
16,Chicken galangal soup is always shut,Chicken galangal soup,2333
6,Sundubu jjigae is queerly ragged,Sundubu jjigae,2333
12,Polenta is deceivingly expensive,Polenta,2333
16,Gogigui is selfishly powerful,Gogigui,2333
12,Korma is unfortunately wasteful,Korma,2334
11,Chicken wings is scarily wretched,Chicken wings,2334
30,Samgyeopsal is zestily realistic,Samgyeopsal,2334
24,Tom yum goong is clearly endurable,Tom yum goong,2334
10,Cheeseburger is questionably slim,Cheeseburger,2334
4,Chicken rice is too acidic,Chicken rice,2335
15,Korma is seemingly grubby,Korma,2335
15,Wanton mee is worriedly wide,Wanton mee,2335
19,Bhajji is noisily unsightly,Bhajji,2335
7,Naan is jealously hateful,Naan,2335
28,Thai hanglay curry is really noxious,Thai hanglay curry,2335
4,Kimchi stew is selfishly flashy,Kimchi stew,2335
10,Hokkien prawn mee is yearly comprehensive,Hokkien prawn mee,2335
14,Sate is recklessly synonymous,Sate,2335
17,Enchiladas is daintily fixed,Enchiladas,2336
31,Chicken rice is obediently lucky,Chicken rice,2336
2,Bakso is slowly shaky,Bakso,2336
8,Kaya toast is necessarily natural,Kaya toast,2336
4,Pork bulgogi is reassuringly broad,Pork bulgogi,2336
33,Bak kut teh is fatally shaky,Bak kut teh,2336
11,Boiled vegetable soup is adventurously fuzzy,Boiled vegetable soup,2336
6,Apple pie is wildly flat,Apple pie,2336
4,Ayam goreng is wetly frightened,Ayam goreng,2336
16,Bottarga is probably volatile,Bottarga,2336
5,Ossobuco is helplessly swanky,Ossobuco,2337
4,Chiles en nogada is joyously like,Chiles en nogada,2337
6,Sichuan pork is vivaciously unruly,Sichuan pork,2337
13,Fish stew is upliftingly tan,Fish stew,2337
17,Chole is lively cool,Chole,2337
2,Banh xeo is fatally pink,Banh xeo,2338
17,Sashimi is positively piquant,Sashimi,2338
8,Spring rolls is terribly green,Spring rolls,2338
14,Goi cuon is scarily dependent,Goi cuon,2338
8,Cao lau is majestically swanky,Cao lau,2338
9,Sundubu jjigae is knavishly lame,Sundubu jjigae,2338
8,Rau muong is effectively gusty,Rau muong,2338
20,Paratha is speedily several,Paratha,2338
6,Ramyeon is inquisitively gentle,Ramyeon,2339
9,Sate is keenly zealous,Sate,2339
2,Spicy stir fried octopus is noisily basic,Spicy stir fried octopus,2339
4,Rau muong is fervently momentous,Rau muong,2340
13,Elote is recently special,Elote,2340
6,Ramen is thankfully equable,Ramen,2340
10,Beef rendang is solemnly creepy,Beef rendang,2340
13,Hot and sour soup is softly shaky,Hot and sour soup,2340
10,Sate is loosely sorry,Sate,2340
6,Cao lau is anyway round,Cao lau,2341
8,Nasi goreng is upwardly basic,Nasi goreng,2341
14,Samgyeopsal is mortally delicate,Samgyeopsal,2341
17,Stir fried tofu with rice is joshingly zesty,Stir fried tofu with rice,2342
14,Fried carrot cake is normally noiseless,Fried carrot cake,2342
11,Banh khot is urgently aboriginal,Banh khot,2342
14,Chicken tikka masala is coaxingly deep,Chicken tikka masala,2342
6,Spaghetti Carbonara is inwardly pushy,Spaghetti Carbonara,2342
9,Spaghetti Bolognese is strictly foregoing,Spaghetti Bolognese,2342
10,Tandoori chicken is carefully acoustic,Tandoori chicken,2342
27,Chilaquiles is often dapper,Chilaquiles,2342
5,Sashimi is hourly grubby,Sashimi,2342
8,Boiled vegetable soup is zealously ashamed,Boiled vegetable soup,2342
16,Tamales is really magical,Tamales,2342
29,Murg makhani is bleakly probable,Murg makhani,2343
3,Lasagna is promptly basic,Lasagna,2343
6,Oyster omelette is unaccountably painful,Oyster omelette,2343
16,Enchiladas is quickly quiet,Enchiladas,2343
12,Ossobuco is unbearably weak,Ossobuco,2343
29,Laksa is thankfully realistic,Laksa,2343
10,Nem ran is too odd,Nem ran,2343
4,Soto is heavily frightened,Soto,2343
11,Chicken galangal soup is zestily disgusting,Chicken galangal soup,2343
2,Gogigui is dramatically bitter,Gogigui,2344
4,Nasi goreng is anyway damaged,Nasi goreng,2344
10,Boiled vegetable soup is simply wide,Boiled vegetable soup,2344
20,Bak chor mee is bleakly flat,Bak chor mee,2344
5,Ayam goreng is broadly noiseless,Ayam goreng,2344
4,Murg makhani is normally volatile,Murg makhani,2344
11,Isaan soup is slowly fuzzy,Isaan soup,2344
4,Pozole is annually true,Pozole,2344
2,Cao lau is blissfully adjoining,Cao lau,2344
19,Risotto is tremendously unfair,Risotto,2344
11,Pork bulgogi is awkwardly serious,Pork bulgogi,2344
33,Ossobuco is famously noxious,Ossobuco,2344
2,Chilaquiles is reassuringly temporary,Chilaquiles,2344
3,Chicken with chestnuts is mysteriously resonant,Chicken with chestnuts,2344
15,Pho is suddenly tired,Pho,2344
12,Fried chicken is questionably gusty,Fried chicken,2344
11,Laksa is overconfidently educated,Laksa,2344
15,Thai hanglay curry is intensely tall,Thai hanglay curry,2345
11,Tamales is frequently calm,Tamales,2345
2,Sundubu jjigae is searchingly endurable,Sundubu jjigae,2345
6,Kaya toast is broadly loutish,Kaya toast,2345
6,Spring rolls is suddenly weak,Spring rolls,2345
2,Guacamole is irritably repulsive,Guacamole,2345
7,Palak paneer is happily special,Palak paneer,2345
7,Beef soup is broadly colorful,Beef soup,2346
15,Steak is excitedly decent,Steak,2346
29,Cao lau is mysteriously wide,Cao lau,2346
5,Sate is eagerly dapper,Sate,2346
27,Boiled vegetable soup is noisily absorbed,Boiled vegetable soup,2346
3,Hash browns is accidentally far-flung,Hash browns,2346
3,Chole is jubilantly cheap,Chole,2346
8,Tamales is elsewhere blue-eyed,Tamales,2346
16,Spring rolls is widely frightened,Spring rolls,2347
16,Bak chor mee is questionably kaput,Bak chor mee,2347
21,Lasagna is cruelly scandalous,Lasagna,2347
6,Banh xeo is thoroughly classy,Banh xeo,2347
18,Paratha is quirkily natural,Paratha,2347
21,Sushi is also rustic,Sushi,2347
10,Risotto is daintily attractive,Risotto,2348
13,Yakitori is colorfully bite-sized,Yakitori,2348
27,Sour soup is diligently lazy,Sour soup,2348
6,Chicken with chestnuts is sternly actually,Chicken with chestnuts,2348
21,Doughnut is forth thirsty,Doughnut,2348
6,Ramyeon is neatly basic,Ramyeon,2348
13,Bottarga is beautifully sorry,Bottarga,2348
2,Cao lau is elsewhere synonymous,Cao lau,2348
20,Sichuan pork is neatly attractive,Sichuan pork,2348
6,Sate is literally robust,Sate,2349
3,Kimchi is again tense,Kimchi,2349
7,Polenta is painfully soggy,Polenta,2349
4,Cheeseburger is urgently adjoining,Cheeseburger,2349
12,Bhajji is unethically far-flung,Bhajji,2349
19,Enchiladas is rudely spotted,Enchiladas,2349
21,Yakitori is then unsuitable,Yakitori,2349
6,Lasagna is upright attractive,Lasagna,2349
9,Beef rendang is elegantly eastern,Beef rendang,2349
19,Doughnut is very tart,Doughnut,2350
3,Pozole is yearly piquant,Pozole,2350
17,Murg makhani is instantly rude,Murg makhani,2350
24,Pizza is vainly thinkable,Pizza,2350
9,Mole is basically tangible,Mole,2351
6,Chilaquiles is hopefully capricious,Chilaquiles,2351
6,Chocolate chip cookie is interestingly changeable,Chocolate chip cookie,2351
6,Dim sum is deftly dynamic,Dim sum,2352
4,Spring rolls is somewhat cool,Spring rolls,2352
11,Samgyeopsal is famously dramatic,Samgyeopsal,2352
4,Pork bulgogi is deceivingly attractive,Pork bulgogi,2352
30,Enchiladas is solemnly madly,Enchiladas,2352
5,Spaghetti Bolognese is ever sudden,Spaghetti Bolognese,2353
14,Nasi goreng is quietly unique,Nasi goreng,2353
8,Wanton mee is tediously freezing,Wanton mee,2353
9,Spaghetti Carbonara is noisily staking,Spaghetti Carbonara,2353
11,Chicken with chestnuts is elegantly noxious,Chicken with chestnuts,2353
12,Chicken galangal soup is innocently small,Chicken galangal soup,2353
8,Polenta is helplessly meaty,Polenta,2353
19,Gogigui is successfully wretched,Gogigui,2353
27,Gogigui is wholly disillusioned,Gogigui,2354
4,Samgyeopsal is unnecessarily automatic,Samgyeopsal,2354
12,Ossobuco is definitely sudden,Ossobuco,2354
13,Sour soup is helplessly makeshift,Sour soup,2354
9,Murg makhani is shakily merciful,Murg makhani,2354
14,Sundubu jjigae is currently unruly,Sundubu jjigae,2354
22,Spaghetti Carbonara is judgementally similar,Spaghetti Carbonara,2354
2,Goi cuon is knottily wrathful,Goi cuon,2354
10,Coconut milk curry is knavishly meek,Coconut milk curry,2354
22,Mole is foolishly tight,Mole,2355
10,Chicken with chestnuts is wetly highfalutin,Chicken with chestnuts,2355
5,Spring rolls is widely zany,Spring rolls,2355
8,Pizza is seemingly embarrassed,Pizza,2355
10,Kaya toast is viciously special,Kaya toast,2355
21,Ayam goreng is originally tired,Ayam goreng,2355
20,Cheeseburger is equally bitter,Cheeseburger,2355
7,Spicy stir fried octopus is already beneficial,Spicy stir fried octopus,2355
4,Pozole is honestly bizarre,Pozole,2356
4,Steak is readily scary,Steak,2356
16,Nem ran is crazily expensive,Nem ran,2356
4,Nasi goreng is sleepily small,Nasi goreng,2356
19,Tofu is poorly spiffy,Tofu,2356
7,Sashimi is blindly noxious,Sashimi,2356
29,Goi cuon is far wide-eyed,Goi cuon,2357
9,Bun bo hue is twice wandering,Bun bo hue,2357
6,Ga tan is equally elastic,Ga tan,2357
19,Tom yum goong is unaccountably hysterical,Tom yum goong,2357
13,Risotto is quizzically somber,Risotto,2357
13,Sundubu jjigae is forth endurable,Sundubu jjigae,2357
4,Elote is quizzically obese,Elote,2357
21,Murg makhani is verbally courageous,Murg makhani,2357
7,Bak chor mee is abnormally standing,Bak chor mee,2357
9,Apple pie is powerfully short,Apple pie,2357
9,Sundubu jjigae is sadly clean,Sundubu jjigae,2358
9,Sashimi is boastfully vacuous,Sashimi,2358
7,Cantonese chicken soup is daintily orange,Cantonese chicken soup,2358
3,Fried chicken is quickly wretched,Fried chicken,2358
6,Palak paneer is rarely nauseating,Palak paneer,2358
22,Cao lau is deftly acoustic,Cao lau,2358
12,Sushi is cleverly superb,Sushi,2358
16,Bibimbap is intently troubled,Bibimbap,2358
2,Bhajji is jaggedly fine,Bhajji,2358
6,Lasagna is dearly soggy,Lasagna,2358
19,Ramyeon is not fresh,Ramyeon,2358
15,Boiled vegetable soup is originally daffy,Boiled vegetable soup,2359
3,Chicken tikka masala is famously quirky,Chicken tikka masala,2359
20,Chicken galangal soup is arrogantly quiet,Chicken galangal soup,2359
11,Korma is searchingly acceptable,Korma,2359
4,Fish stew is solidly makeshift,Fish stew,2359
2,Goi cuon is curiously future,Goi cuon,2359
13,Beef rendang is hastily gusty,Beef rendang,2360
8,French fries is queerly bright,French fries,2360
6,Chicken tikka masala is viciously powerful,Chicken tikka masala,2360
12,Soto is gently nauseating,Soto,2360
16,Pozole is yawningly unarmed,Pozole,2360
4,Risotto is slowly piquant,Risotto,2361
15,Sour soup is defiantly synonymous,Sour soup,2361
5,Doughnut is surprisingly tired,Doughnut,2361
4,Ramyeon is softly sable,Ramyeon,2361
7,Bottarga is somewhat noiseless,Bottarga,2361
2,Cao lau is yieldingly small,Cao lau,2361
7,Sate is gracefully lame,Sate,2362
5,French fries is upward flowery,French fries,2362
13,Enchiladas is evenly faulty,Enchiladas,2362
17,Chicken rice is queasily quiet,Chicken rice,2362
11,Goi cuon is naturally dependent,Goi cuon,2362
6,Szechwan chilli chicken is vastly dapper,Szechwan chilli chicken,2362
9,Spaghetti Carbonara is ahead necessary,Spaghetti Carbonara,2362
20,Ga tan is shrilly cool,Ga tan,2362
19,Tandoori chicken is verbally unarmed,Tandoori chicken,2362
21,Sashimi is hastily curved,Sashimi,2362
19,Thai hanglay curry is wetly tired,Thai hanglay curry,2363
4,Pork bulgogi is usefully colorful,Pork bulgogi,2363
19,Oyster omelette is below quiet,Oyster omelette,2363
3,Tofu is jubilantly colossal,Tofu,2363
23,Sichuan pork is vacantly absorbing,Sichuan pork,2363
14,Cheeseburger is unexpectedly quick,Cheeseburger,2363
29,Kaya toast is tomorrow obsequious,Kaya toast,2364
6,Chilaquiles is zestily abashed,Chilaquiles,2364
10,Chicken tikka masala is vainly wide-eyed,Chicken tikka masala,2364
16,Cao lau is upliftingly certain,Cao lau,2364
29,Hash browns is keenly piquant,Hash browns,2364
24,Spicy stir fried octopus is actually selective,Spicy stir fried octopus,2364
5,Ayam penyet is soon probable,Ayam penyet,2364
2,Soba is almost like,Soba,2364
6,Lasagna is fiercely spooky,Lasagna,2364
7,Mole is correctly makeshift,Mole,2365
29,Vegetable fried rice is similarly spotted,Vegetable fried rice,2365
5,Tempura is jealously decent,Tempura,2365
3,Steak is doubtfully synonymous,Steak,2365
5,Beef soup is happily therapeutic,Beef soup,2365
5,Sichuan pork is queerly lazy,Sichuan pork,2365
5,Chicken with chestnuts is merrily capricious,Chicken with chestnuts,2366
14,Natto is nearly decisive,Natto,2366
24,Dim sum is monthly bite-sized,Dim sum,2366
11,Fried carrot cake is wetly piquant,Fried carrot cake,2366
11,Chiles en nogada is acidly decent,Chiles en nogada,2366
8,Risotto is greedily beneficial,Risotto,2366
15,Hash browns is obediently painful,Hash browns,2366
21,Tacos al pastor is deceivingly amuck,Tacos al pastor,2366
10,Polenta is mysteriously spiky,Polenta,2367
9,Lasagna is smoothly poor,Lasagna,2367
6,Tofu is loftily absorbed,Tofu,2367
11,Udon is constantly synonymous,Udon,2367
14,Boiled vegetable soup is fatally blue-eyed,Boiled vegetable soup,2367
15,Dim sum is defiantly unarmed,Dim sum,2367
18,Yakitori is reassuringly educated,Yakitori,2367
26,Spicy stir fried octopus is automatically sturdy,Spicy stir fried octopus,2367
11,Doughnut is doubtfully willing,Doughnut,2367
21,Apple pie is everywhere alluring,Apple pie,2368
1,Steak is sharply yielding,Steak,2368
8,Chicken rice is knavishly sick,Chicken rice,2368
3,Mole is too jumpy,Mole,2368
8,Green curry chicken is valiantly orange,Green curry chicken,2368
14,Sour soup is rigidly wicked,Sour soup,2368
4,Ramen is greatly sturdy,Ramen,2368
6,Sate is rightfully logical,Sate,2369
